action	guid	original	current
removed-demo	9b99e0d3f9ba0e747ae9e6c229f25a82	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Materials/SequencerTiles69.mat	
removed-demo	7fc69917d0d06bc45b69968dd837d42b	Assets/Feel/FeelDemos/CardsUI/Prefabs/FeelCardsUI_Card_Stormeye.prefab	
removed-demo	947b2f820c765bb4580381aec9a7523a	Assets/Feel/FeelDemos/Wheel/Materials/FeelWheelRim.mat	
retained-guid	53e5d263afa31f84eba026d21225b8fe	Assets/Feel/MMTools/Accessories/MMCamera/MMCameraFog.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMCamera/MMCameraFog.cs
removed-demo	5563bc4dd4fc42c498a2d87fe7f74008	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Textures/Fabric06_nrm.png	
retained-guid	cb001ad73daba6d49b6183ff4079ebb6	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPColor.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPColor.cs
removed-demo	a4e6cea3b38ff9446b72230500b7daa3	Assets/Feel/FeelDemos/MoreMountains.Feel.Demos.asmref	
retained-guid	da50fb2dabbb9534fb964920e61a0446	Assets/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_Image.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_Image.cs
retained-guid	69bdc1f611c0f8d4dbc71613a9b04b9b	Assets/Feel/MMFeedbacks/Editor/Core/UIToolkit/Textures/FeelSetupRequired@2x.png	Assets/Art/UI/Feel/MMFeedbacks/Editor/Core/UIToolkit/Textures/FeelSetupRequired@2x.png
removed-demo	f9ecc84bea2f775498b7ec65b3810570	Assets/Feel/FeelDemosHDRP/Falcon/Materials/FeelFalconHDRPSkybox.hdr	
removed-demo	a6ae458264a4a8e42a10f166c8becc96	Assets/Feel/NiceVibrations/Demo/Common/Sprites/NVRoundedCorners.png	
removed-demo	b8256a6b792fe3b488157984ecc43f61	Assets/Feel/FeelDemos/Strike/Sounds/FeelStrikeSuccess.wav	
retained-guid	a4be8a3950b608c4785907ebe6be06ab	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPAlpha.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPAlpha.cs
retained-guid	887e928caeb50c74593acce11770f85f	Assets/Feel/MMTools/Accessories/Editor/MMVision/MMConeOfVisionInspector.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/Editor/MMVision/MMConeOfVisionInspector.cs
retained-guid	dc41dad25c8ecab4b8dba885fea5e5c9	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/PostProcessing/Springs/MMSpringColorGradingTemperature.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/PostProcessing/Springs/MMSpringColorGradingTemperature.cs
retained-guid	ff113397ac737b84494337e5512328d8	Assets/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_ImageTextureOffset.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_ImageTextureOffset.cs
removed-demo	e722c40e0347f457dba2efdc21167c05	Assets/Feel/NiceVibrations/HapticSamples/Objects/Flashlight1.haptic	
removed-demo	964ebbbe81ebfa24393c4962b4c441f2	Assets/Feel/FeelDemos/Barbarians/Materials/FeelBarbarianBackgroundTreeWood.mat	
retained-guid	7e08cd56fd2838f45bb3577428403529	Assets/Feel/MMFeedbacks/MMFeedbacks/Springs/Springs/MMSpringSquashAndStretch.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Springs/Springs/MMSpringSquashAndStretch.cs
removed-demo	0b839954fde649940911003ccb2b898f	Assets/Feel/FeelDemos/Bounce/Materials/FeelBounceLight.mat	
retained-guid	6dbf82cbd8a266041acbda8137fc5b9d	Assets/Feel/MMTools/Accessories/Editor/MMUtilities/MMTransformRandomizerEditor.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/Editor/MMUtilities/MMTransformRandomizerEditor.cs
retained-guid	5f28e9eb155c32542978f8e9ecbc19f3	Assets/Feel/MMTools/Accessories/MMDebugMenu/Scripts/Tabs/MMDebugMenuDebugTab.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMDebugMenu/Scripts/Tabs/MMDebugMenuDebugTab.cs
removed-demo	c1d23fed02e635544b12ed36a30f8113	Assets/Feel/MMFeedbacks/Demos/MMFeedbacksDemo/Materials/FeedbacksDemoCupcakeMaterial.mat	
removed-demo	0d638d1d0bd5acb4094aec795e12958f	Assets/Feel/FeelDemos/ParallaxUI/Sprites/FeelParallaxUISnow2.png	
removed-demo	f1a50c3f2fcb1db47ad5e001fd936402	Assets/Feel/FeelDemos/Letters/Sprites/FeelLettersDemoMouth2.png	
removed-demo	39dda57e2d7e23d4f843bbd5c20483b3	Assets/Feel/FeelDemos/Barbarians/Models/FeelBarbarianBackgroundTopDown.fbx	
removed-demo	09ec768d85c4824429cc19be00b6c792	Assets/Feel/FeelDemos/Barbarians/Textures/BarbarianHelmetTexture.png	
retained-guid	e08d8cde70b2ab541adf3efc246ef16a	Assets/Feel/MMTools/Foundation/Editor/MoreMountains.Tools.Foundation.Editor.asmref	Assets/Scripts/ThirdParty/Feel/MMTools/Foundation/Editor/MoreMountains.Tools.Foundation.Editor.asmref
removed-demo	c7348ace360ef934f965f061c2c4269e	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Sounds/Kit/MMSequencingBass2.wav	
retained-guid	8b91ce6d480b92e488d567b5558e559e	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/URP/Springs/MMSpringChromaticAberrationIntensity_URP.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/URP/Springs/MMSpringChromaticAberrationIntensity_URP.cs
removed-demo	a9d44b99833cbfd48bb8d373db75343d	Assets/Feel/FeelDemos/Strike/Models/FeelStrikePin.fbx	
removed-demo	1a1c9fd2071a346fe97e445716115b82	Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight3.wav	
removed-demo	28f4ba3ff8cbc124d82cbe3d696ed209	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Materials/SequencerTiles12.mat	
removed-demo	01dfcbf4ce9664c41ab1cf3609c59ee6	Assets/Feel/MMFeedbacks/Demos/MMFeedbacksDemo/Models/Rock1.fbx	
retained-guid	58875ceee40a651498d6e840f42a38bd	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/MMTools/Feedbacks/MMF_RectTransformSizeDelta.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/MMTools/Feedbacks/MMF_RectTransformSizeDelta.cs
removed-demo	cafd91303a9ae4c378d26b3c26979091	Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete1.wav	
removed-demo	38f9bd8468d1d45ffaf65e1fb6314f69	Assets/Feel/NiceVibrations/HapticSamples/Weapons/LightMachineGunFire1.haptic	
retained-guid	fd22fcdfdb498eb44a478a291de6c940	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/Cinemachine/Shakers/MMCinemachineDutchShaker.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/Cinemachine/Shakers/MMCinemachineDutchShaker.cs
removed-demo	e99b6c5ad04e7474d98b5d3425dd7f82	Assets/Feel/MMFeedbacks/Demos/MMFeedbacksDemo/Sounds/MMFeedbacksDemoTrack.wav	
retained-guid	af3876ae77702e24e8e1b06f675c0860	Assets/Feel/MMTools/Accessories/MMActivation/MMInputExecution.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMActivation/MMInputExecution.cs
retained-guid	efe052b91c95c534b8bf0f64fb0b9151	Assets/Feel/MMTools/Core/MMUI/MMFader.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/MMUI/MMFader.cs
retained-guid	911c22680cab39842bdcfa0232128182	Assets/Feel/MMTools/Accessories/MMVFX/MMParticles/MMParticlesSlash.png	Assets/Art/Textures/Feel/MMTools/Accessories/MMVFX/MMParticles/MMParticlesSlash.png
removed-demo	0dcefafee79e7de43ad13fab5cdb7135	Assets/Feel/FeelDemos/Common/Sprites/AppIcon.png	
retained-guid	35b7126fb201e074ea5a3421ba27c5b1	Assets/Feel/MMFeedbacks/Editor/Springs/MMSpringDebugPropertyDrawer.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/Editor/Springs/MMSpringDebugPropertyDrawer.cs
removed-demo	c1334dc132cef6e4d980b0705fa9c3ab	Assets/Feel/NiceVibrations/Demo/DemoAssets/ContinuousDemo/Scripts/ContinuousHapticsDemoManager.cs	
retained-guid	93b39336c7407ba4cb17a6d77dfa9605	Assets/Feel/MMTools/Accessories/MMShaders/MMWorldspace.shader	Assets/Art/Shaders/Feel/MMTools/Accessories/MMShaders/MMWorldspace.shader
retained-guid	45c7e7c8965a9e247b9e9b53897db43b	Assets/Feel/MMFeedbacks/MMFeedbacks/Springs/Springs/MMSpringTMPWordSpacing.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Springs/Springs/MMSpringTMPWordSpacing.cs
removed-demo	9c6c33e38b3914907af850ae738fd9f9	Assets/Feel/NiceVibrations/HapticSamples/Objects/Flashlight1.wav	
retained-guid	c493dd563e694e040a426953b958e68e	Assets/Feel/MMTools/Core/Editor/MMSaveLoad/MMSaveLoadMenu.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/Editor/MMSaveLoad/MMSaveLoadMenu.cs
retained-guid	4b69e4219f8a33d46b034129f4d3ddea	Assets/Feel/MMTools/Accessories/MMGUI/MMOnPointer.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMGUI/MMOnPointer.cs
retained-guid	1049f71bc5747d14fa10e114f6cfcfe5	Assets/Feel/MMFeedbacks/MMFeedbacks/Sequencing/Scripts/MMSequencer.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Sequencing/Scripts/MMSequencer.cs
retained-guid	a1fc9c7a40e1f2245a0a7c067509a2ae	Assets/Feel/MMTools/Accessories/MMCamera/MMViewportEdgeTeleporter.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMCamera/MMViewportEdgeTeleporter.cs
removed-demo	d7f200db91fdcfd42a21a3c6b8321128	Assets/Feel/MMTools/Demos/MMGhostCamera/PostProcessing/MMGhostCameraPostProcessingProfile_URP.asset	
removed-demo	2632f30768ebdc141974faa405242463	Assets/Feel/FeelDemos/Letters/Materials/FeelLettersDemoWindMaterial.mat	
removed-demo	1a4822eecd49a0b49a4689ff4e92fa67	Assets/Feel/FeelDemos/Bounce/Materials/FeelBounceHelmetHornsMaterial.mat	
removed-demo	ef35891a12f2deb49acd5cffa698c910	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Materials/SequencerTiles31.mat	
retained-guid	8f6a0577d46b80a4f929e57370c60650	Assets/Feel/MMTools/Foundation/MMControls/MMTouchJoystick.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Foundation/MMControls/MMTouchJoystick.cs
retained-guid	d821f2e3723c0e14f8ab72b4b064fe65	Assets/Feel/MMTools/Accessories/MMVFX/MMRipple/MMRippleWaves1NM.png	Assets/Art/Textures/Feel/MMTools/Accessories/MMVFX/MMRipple/MMRippleWaves1NM.png
retained-guid	7f64f66e3526fb1458a4c1e34e5300a9	Assets/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_Rigidbody.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Feedbacks/MMF_Rigidbody.cs
retained-guid	e4c4ad5c65605834a8f3d6718580bd06	Assets/Feel/MMTools/Accessories/MMGUI/MMTwoSidedUI.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMGUI/MMTwoSidedUI.cs
removed-demo	108a3476b6d855545b26c23b7e92e890	Assets/Feel/NiceVibrations/Demo/DemoAssets/BallDemo/Scripts/BallDemoManager.cs	
retained-guid	05ed97bf9ce684b47ab50ba3bf13134e	Assets/Feel/MMTools/Accessories/Editor/MMMaintenance/MMCleanupMissingScripts.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/Editor/MMMaintenance/MMCleanupMissingScripts.cs
removed-demo	b4051c51d9b5fc343ac55f3cff8f01e3	Assets/Feel/FeelDemos/Brass/Scripts/FeelBrassGroundGenerator.cs	
removed-demo	22b991c903495424a81ff53c87ad78a0	Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack1.wav	
retained-guid	3aa8708b27bfe524b8280cdc746690d3	Assets/Feel/MMTools/Accessories/MMPrototypeTextures/MMBRP_Materials/MMBPR_BlueCrosses.mat	Assets/Art/Materials/Feel/MMTools/Accessories/MMPrototypeTextures/MMBRP_Materials/MMBPR_BlueCrosses.mat
removed-demo	bcaca1f981b3fb041b502584100e7566	Assets/Feel/FeelDemos/Toaster/RenderTexture/FeelToasterRenderTextureMaterial.mat	
retained-guid	c55f5c5831b7b344bb8ae4b4471d7253	Assets/Feel/MMTools/Core/MMHelpers/MMFade.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/MMHelpers/MMFade.cs
retained-guid	2d40819da14d2d1499237afb52ba159b	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/HDRP/Helpers/MMHDRPHelpers.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/HDRP/Helpers/MMHDRPHelpers.cs
retained-guid	f6dcec9f2c4bea14baa2582a1bae072a	Assets/Feel/MMTools/Core/MMRadio/MMProperty/MMPropertyLink/MMPropertyLinkInt.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/MMRadio/MMProperty/MMPropertyLink/MMPropertyLinkInt.cs
retained-guid	49f0c9a373a7bee44ba595f666d21fc4	Assets/Feel/MMTools/Accessories/MMCinemachine/MMCinemachineZone/MMCinemachineZone3D.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMCinemachine/MMCinemachineZone/MMCinemachineZone3D.cs
removed-demo	676793e8b24f07a49a5aac3b0985ad69	Assets/Feel/FeelDemos/Barbarians/Sounds/FeelBarbarianHit.wav	
retained-guid	6380989b56d512c498442aa08d0dfe03	Assets/Feel/MMTools/Accessories/MMPrototypeTextures/Textures/MMPlastic/MMPlasticAO.png	Assets/Art/Textures/Feel/MMTools/Accessories/MMPrototypeTextures/Textures/MMPlastic/MMPlasticAO.png
retained-guid	99dec03033cf89c4b936367ceee96b05	Assets/Feel/MMTools/Demos/MMTween/Fonts/Lato/TTF/Lato-Semibold.ttf	Assets/Art/Fonts/Feel/MMTools/Demos/MMTween/Fonts/Lato/TTF/Lato-Semibold.ttf
removed-demo	24c17f7978039fc4ead290ab5d87e2ee	Assets/Feel/MMFeedbacks/Demos/MMFeedbacksDemo/MMF_PlayerDemo.unity	
retained-guid	83dcb4ea8c2204a43adf98a01a3bc0d1	Assets/Feel/MMTools/Core/MMRadio/MMRadioReceiver.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/MMRadio/MMRadioReceiver.cs
removed-demo	fc310f0002b9b714884ea8fb1517d73b	Assets/Feel/FeelDemos/SquashAndStretch/PostProcessingProfile/FeelSquashAndStretchSkyboxPostProcessingProfile.asset	
retained-guid	74afe8fa850212e4cb811213ee9ae400	Assets/Feel/MMFeedbacks/MMFeedbacks/Springs/Springs/MMSpringLightIntensity.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Springs/Springs/MMSpringLightIntensity.cs
retained-guid	517afba2f824eb244b94a340fe47a650	Assets/Feel/MMTools/Accessories/MMVFX/MMBloomDirt/MMBloomDirt2.png	Assets/Art/Textures/Feel/MMTools/Accessories/MMVFX/MMBloomDirt/MMBloomDirt2.png
removed-demo	72c274521f3154cc4b3c1db9ca2deb64	Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarEngine1.wav	
removed-demo	130738348661b614a91b65ab8a83e0d4	Assets/Feel/MMFeedbacks/Demos/SequencingDemo/Textures/Tiles31_rgh.png	
removed-demo	86299ffd493034c65bf4c255664bbed9	Assets/Feel/NiceVibrations/HapticSamples/Nature/RainonUmbrella1.haptic	
removed-demo	c6b50230460947f409d8c959ea2e760d	Assets/Feel/FeelDemos/Toaster/PostProcessing/FeelToasterPostProcessingProfile.asset	
removed-demo	ddb932091cbb9474f8b38bf2491cc9de	Assets/Feel/NiceVibrations/HapticSamples/Music/Cymbal3.wav	
retained-guid	5a2e3aab8bd306249afbd26c52205f46	Assets/Feel/MMFeedbacks/MMFeedbacks/Core/ObjectPool/MMMiniObjectPooler.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacks/Core/ObjectPool/MMMiniObjectPooler.cs
retained-guid	6cf9893ce00472244950a7d0b0c4430e	Assets/Feel/MMTools/Core/Editor/MMAttributes/MMColorAttributeDrawer.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/Editor/MMAttributes/MMColorAttributeDrawer.cs
removed-demo	dd23a3cec55974f40b54e572b9630bcf	Assets/Feel/NiceVibrations/HapticSamples/Objects/Coin5.haptic	
removed-demo	4394c1beb96d3ff488adea1729375ee0	Assets/Feel/FeelDemos/Barbarians/Lighting/Lightmap-0_comp_dir.png	
removed-demo	d60ddf9cac3b248c4953a4ba37dd6c59	Assets/Feel/NiceVibrations/HapticSamples/SoundFX/Crumbling1.wav	
removed-demo	913aed532e7e36e45be44dd53fcf660e	Assets/Feel/FeelDemos/Bounce/Physics/FeelBounceBouncyMaterial.physicMaterial	
retained-guid	6e5da26383e93e941be7bdbcd7b5d940	Assets/Feel/MMTools/Core/MMRadio/MMProperty/MMProperty.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Core/MMRadio/MMProperty/MMProperty.cs
removed-demo	02316434b607bb54b8febbdeb7c6fe1a	Assets/Feel/FeelDemos/Springs/Materials/FeelSpringsTalkingTreesEyeWhite.mat	
retained-guid	0f03458534bea45e4bba9ab3411321b2	Assets/Feel/MMTools/Foundation/MMAchievements/Fonts/orange kid.ttf	Assets/Art/Fonts/Feel/MMTools/Foundation/MMAchievements/Fonts/orange kid.ttf
retained-guid	75131f2c79eb5ea41ad169e65629e780	Assets/Feel/MMTools/Accessories/MMShaders/MMVFX.shader	Assets/Art/Shaders/Feel/MMTools/Accessories/MMShaders/MMVFX.shader
removed-demo	fadb07e8551cd4db2a081ec1b9702af6	Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchMed2.wav	
retained-guid	f9406a33814af9c47b352e77f079d798	Assets/Feel/NiceVibrations/OlderVersions/v2.0.1/NiceVibrations-v-2-0-1.unitypackage	Assets/Scripts/ThirdParty/Feel/NiceVibrations/OlderVersions/v2.0.1/NiceVibrations-v-2-0-1.unitypackage
retained-guid	47cd2899f51fb4842857c11182c8e62a	Assets/Feel/MMTools/Accessories/MMCinemachine/MMCinemachineZone/MMCinemachineZone2D.cs	Assets/Scripts/ThirdParty/Feel/MMTools/Accessories/MMCinemachine/MMCinemachineZone/MMCinemachineZone2D.cs
removed-demo	7b27863d254b64b43a78a2b21773bad2	Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard3.wav	
retained-guid	0fffa36c603d1bd4ea253a17e4d17757	Assets/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPFontSize.cs	Assets/Scripts/ThirdParty/Feel/MMFeedbacks/MMFeedbacksForThirdParty/TextMeshPro/Feedbacks/MMF_TMPFontSize.cs
removed-demo	37bbdd2870294554b9997eae9fc844e9	Assets/Feel/MMFeedbacks/Demos/MMFeedbacksDemo/Materials/FeedbacksDemoEyes.mat	
